Customer ID,Customer Name,Customer Type,School Level,Year,Year (datetime),Population,Install Date,Install Year,Decommission Date,Decommission Year,Coordinates,Source
16,St. Joseph Nkooko SSS,School,Senior Secondary,2018,2018-01-01,181,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2019,2019-01-01,190,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2020,2020-01-01,217,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2021,2021-01-01,0,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2022,2022-01-01,170,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2023,2023-01-01,216,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2024,2024-01-01,295,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2025,2025-01-01,305,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
17,Victory Junior PS,School,Primary,2017,2017-01-01,256,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2018,2018-01-01,293,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2019,2019-01-01,302,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2020,2020-01-01,349,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2021,2021-01-01,0,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2022,2022-01-01,357,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2023,2023-01-01,641,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2024,2024-01-01,381,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
17,Victory Junior PS,School,Primary,2025,2025-01-01,389,2017-12-14,2017,2026-01-01,2026,"0.5106429,32.364049",Calculated
18,ABC Nateete PS,School,Primary,2017,2017-01-01,226,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Calculated
18,ABC Nateete PS,School,Primary,2018,2018-01-01,194,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Calculated
18,ABC Nateete PS,School,Primary,2019,2019-01-01,210,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Calculated
18,ABC Nateete PS,School,Primary,2020,2020-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Calculated
18,ABC Nateete PS,School,Primary,2021,2021-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Inferred
18,ABC Nateete PS,School,Primary,2022,2022-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Inferred
18,ABC Nateete PS,School,Primary,2023,2023-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Inferred
18,ABC Nateete PS,School,Primary,2024,2024-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Inferred
18,ABC Nateete PS,School,Primary,2025,2025-01-01,208,2017-10-21,2017,2026-01-01,2026,"0.3052125,32.537384",Inferred
19,Kitimba HC,Health Centre,Health Centre,2018,2018-01-01,10544,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2019,2019-01-01,10544,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2020,2020-01-01,5984,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2021,2021-01-01,6497,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2022,2022-01-01,6500,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2023,2023-01-01,7400,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2024,2024-01-01,9800,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
19,Kitimba HC,Health Centre,Health Centre,2025,2025-01-01,9900,2018-11-21,2018,2026-01-01,2026,"0.29660241578113344, 32.26752448769217",Calculated
20,Kitimba PS,School,Primary,2018,2018-01-01,213,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2019,2019-01-01,214,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2020,2020-01-01,212,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2021,2021-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2022,2022-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2023,2023-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Calculated
20,Kitimba PS,School,Primary,2024,2024-01-01,212,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Inferred
20,Kitimba PS,School,Primary,2025,2025-01-01,212,2018-10-15,2018,2026-01-01,2026,"0.2960196190726445, 32.26807316401277",Inferred
21,Kisoko SS,School,Secondary,2018,2018-01-01,149,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2019,2019-01-01,185,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2020,2020-01-01,285,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2021,2021-01-01,285,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Inferred
