Customer ID,Customer Name,Customer Type,Loc ID,,Loc ID,District,Coordinates,,,Latitude ,Longitude,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,Latest Population (per Customer ID),Total Population (Latest Year Only) ,Latest year for this row’s customer,Is this row the latest year for that customer?,Population (Latest Year Only),Total Population (Latest Year Only),,"Total Population (Latest Year Only) AI Version I can't understand, here for sanity check"
54,Bwebukya UMEA PS,School,54,,54,,"0.2292197939594243, 32.15594218958148",,,0.229219794,32.15594219,,34,53,Kaggulwe PS #2,Lighting Only,Abandoned,NA,,34,53,Kaggulwe PS #2,Lighting Only,Abandoned,NA,,8,2022,779.00,Inferred,779,,2026,FALSE,,,,
55,Simba Islamic PS,School,55,,55,Butambala,"0.24338529610769266, 32.16047135543981",,,0.2433852961,32.16047136,,41,54,Kawami C/S PS #1,Lighting Only,Installed,5/4/2021,,41,54,Kawami C/S PS #1,Lighting Only,Installed,5/4/2021,,8,2023,779.00,Inferred,779,,2026,FALSE,,,,
56,Katabira Parents PS,School,56,,56,,,,,#VALUE!,#VALUE!,,48,55,Buyenga Q/S PS #1,Lighting Only,Installed,5/12/2021,,48,55,Buyenga Q/S PS #1,Lighting Only,Installed,5/12/2021,,8,2024,779.00,Inferred,779,,2026,FALSE,,,,
57,Bujumba C/S PS,School,57,,57,,,,,#VALUE!,#VALUE!,,49,56,Senge HC III #1,Lighting Only,Design,NA,,49,56,Senge HC III #1,Lighting Only,Design,NA,,8,2025,779.00,Inferred,779,,2026,FALSE,,,,
58,Mabanda Islamic PS,School,58,,58,,,,,#VALUE!,#VALUE!,,49,57,Senge HC III #2,Lighting Only,Design,NA,,49,57,Senge HC III #2,Lighting Only,Design,NA,,8,2026,779.00,Inferred,779,,2026,TRUE,779.00,,,
59,Mabanda C/S PS,School,59,,59,,,,,#VALUE!,#VALUE!,,47,58,Mavugeera Umea PS #1,Lighting Only,Abandoned,NA,,47,58,Mavugeera Umea PS #1,Lighting Only,Abandoned,NA,,9,2016,348.00,Calculated,257,,2026,FALSE,,,,
60,Mitwetwe Parents PS,School,60,,60,,,,,#VALUE!,#VALUE!,,35,59,Kaggulwe SS #3,Lighting Only,Design,NA,,35,59,Kaggulwe SS #3,Lighting Only,Design,NA,,9,2017,354.00,Calculated,257,,2026,FALSE,,,,
61,Lugoye UMEA PS,School,61,,61,,,,,#VALUE!,#VALUE!,,45,60,St. Joseph Kikkunyu PS #1,Lighting Only,Installed,4/29/2021,,45,60,St. Joseph Kikkunyu PS #1,Lighting Only,Installed,4/29/2021,,9,2018,352.00,Calculated,257,,2026,FALSE,,,,
62,Kayenje C/S PS,School,62,,62,Butambala,"0.18126463548449379, 32.094237314499466",,,0.1812646355,32.09423731,,40,61,Kawami C/U PS #1,Lighting Only,Offline,5/8/2021,,40,61,Kawami C/U PS #1,Lighting Only,Offline,5/8/2021,,9,2019,356.00,Calculated,257,,2026,FALSE,,,,
63,Gwatiro C/U PS,School,63,,63,,,,,#VALUE!,#VALUE!,,43,62,Kikunyu PS #1,Lighting Only,Abandoned,NA,,43,62,Kikunyu PS #1,Lighting Only,Abandoned,NA,,9,2020,257.00,Calculated,257,,2026,FALSE,,,,
64,Kayenje C/U PS,School,64,,64,Butambala,"0.1847286065167981, 32.099080338263235",,,0.1847286065,32.09908034,,28,63,Joy Christian PS - Classroom #1,Lighting Only,Design,NA,,28,63,Joy Christian PS - Classroom #1,Lighting Only,Design,NA,,9,2021,257.00,Inferred,257,,2026,FALSE,,,,
65,Kwezi Muslim PS,School,65,,65,,,,,#VALUE!,#VALUE!,,28,64,Joy Christian PS - Classroom #2,Lighting Only,Design,NA,,28,64,Joy Christian PS - Classroom #2,Lighting Only,Design,NA,,9,2022,257.00,Inferred,257,,2026,FALSE,,,,
66,Bunyenye UMEA PS,School,66,,66,,,,,#VALUE!,#VALUE!,,28,65,Joy Christian PS - Dorms #1,Lighting Only,Design,NA,,28,65,Joy Christian PS - Dorms #1,Lighting Only,Design,NA,,9,2023,257.00,Inferred,257,,2026,FALSE,,,,
67,Budde SS,School,67,,67,Butambala,"0.13061169040075618, 32.18117026633471",,,0.1306116904,32.18117027,,28,66,Joy Christian PS - Dorms #2,Lighting Only,Abandoned,NA,,28,66,Joy Christian PS - Dorms #2,Lighting Only,Abandoned,NA,,9,2024,257.00,Inferred,257,,2026,FALSE,,,,
68,Kibugga C/S PS,School,68,,68,Butambala,"0.11172639963379372, 31.999061241658268",,,0.1117263996,31.99906124,,103,67,Bulo HC III #1,Lighting Only,Installed,12/11/2021,,103,67,Bulo HC III #1,Lighting Only,Installed,12/11/2021,,9,2025,257.00,Inferred,257,,2026,FALSE,,,,
69,Ssempiira Ben PS,School,69,,69,Butambala,"0.1868032943847937, 32.13792670223035",,,0.1868032944,32.1379267,,104,68,Ngando HC III #1,Lighting Only,Installed,11/13/2021,,104,68,Ngando HC III #1,Lighting Only,Installed,11/13/2021,,9,2026,257.00,Inferred,257,,2026,TRUE,257.00,,,
