Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,"Total Population (All Years, per Customer)","Total Population (All Customers, All Years)",,Customer ID,Customer Name,Customer Type,School Level,Public or Private,Loc ID,,Loc ID,District,Coordinates
,,,,,,,18,2018,194.00,Calculated,2086,,,135,Bukulula HC IV,Health Centre,,Public,135,,135,Kalungu,"-0.18089285974177072, 31.84529173546293"
,,,,,,,18,2019,210.00,Calculated,2086,,,136,Kiti HC III,Health Centre,,,136,,136,Kalungu,"-0.08031980336784357, 31.866745207104096"
,,,,,,,18,2020,208.00,Calculated,2086,,,137,Kyambala HC,Health Centre,,Private,137,,137,Kalungu,"-0.13112, 31.82904"
,,,,,,,18,2021,208.00,Inferred,2086,,,138,Nabutongwa HC II,Health Centre,,Public,138,,138,Kalungu,"-0.1996698629628177, 31.75263498769503"
,,,,,,,18,2022,208.00,Inferred,2086,,,139,Kalungu HC III,Health Centre,,Public,139,,139,Kalungu,"-0.17130, 31.75855"
,,,,,,,18,2023,208.00,Inferred,2086,,,140,Kigaaju HC II,Health Centre,,,140,,140,Kalungu,"-0.012183295754581745, 31.740595415344675"
,,,,,,,18,2024,208.00,Inferred,2086,,,141,Kasambya (Kalungu) HC III,Health Centre,,,141,,141,,
,,,,,,,18,2025,208.00,Inferred,2086,,,142,Kiragga HC III,Health Centre,,,142,,142,Kalungu,"-0.07862, 31.74773"
,,,,,,,18,2026,208.00,Inferred,2086,,,143,Kabaale HC III,Health Centre,,,143,,143,Kalungu,"-0.09471, 31.81289"
,,,,,,,19,2018,"10,544.00",Calculated,77069,,,144,Kyamulibwa HC III,Health Centre,,,144,,144,,"-0.078717228978193, 31.747543279763715"
,,,,,,,19,2019,"10,544.00",Calculated,77069,,,145,Kigasa HC II,Health Centre,,,145,,145,,
,,,,,,,19,2020,"5,984.00",Calculated,77069,,,146,Lukaya HC III,Health Centre,,,146,,146,,
,,,,,,,19,2021,"6,497.00",Calculated,77069,,,147,Mpongo C/U PS,School,Primary,Public,147,,147,Gomba,"0.18713, 32.03866"
,,,,,,,19,2022,"6,500.00",Calculated,77069,,,148,Nakulamudde PS,School,Primary,,148,,148,,
,,,,,,,19,2023,"7,400.00",Calculated,77069,,,149,Busolo C/U PS,School,Primary,,149,,149,,
